Game_Date,is_weekend,is_christmas,Total_FGA,Total_FTA,HT_Diff,Q4_Diff,Final_Diff,Avg_Pace,Avg_EFG,Total_Fouls,Avg_Win.,Win._Diff,First_Five_Games,Num_OT,is_opening_day,Num_Allstars,Active_Allstars,Num_Internationals,Active_Internationals,jumpshots_made,layups_made,dunks_made,tipins_made,MVP_points,SMA_points,ROY_points,MIP_points,DPOY_points,All_NBA_points,All_Star_Points,Total_PER,Avg_PER,Avg_Allstar_Points,Total_Viewers
1477652400,0,0,169,40,10,4,3,94.0,0.4524,35,1.0,0.0,1,0,0,5,5,11,6,27.80793125,12.80188775,4.336602,1.07430525,334,0,0,1,3,574,114,76.95300146,15.39060029,22.8,48951
1477661400,0,0,191,51,9,11,8,108.5,0.514,46,0.0,0.0,1,0,0,5,5,6,4,26.318346000000002,13.33989225,5.2319125,0.8630530000000001,56,326,0,0,434,1062,134,140.50666030000002,28.10133205,26.8,46471
1477654200,0,0,185,40,4,7,9,99.0,0.4538,45,0.5,1.0,1,0,0,1,1,5,1,27.243026,13.580384,3.7546585,0.86824525,0,0,0,2,0,40,22,18.75730556,18.75730556,22.0,23043
1477659600,0,0,159,61,5,0,7,93.0,0.4439,47,0.5,1.0,1,0,0,1,0,11,5,26.72267675,12.90015675,5.3929515,1.020312,0,0,0,117,269,366,0,0.0,0.0,0.0,25043
1477654200,0,0,190,18,23,35,26,95.0,0.4658,24,0.0,0.0,1,0,0,0,0,7,5,27.80110525,12.534439500000001,4.02257775,1.0402935,0,0,0,0,0,0,0,0.0,0.0,0.0,10691
1477656000,0,0,190,70,4,6,3,104.0,0.45805,53,0.5,1.0,1,1,0,1,1,4,4,25.5279045,14.220101999999999,4.69753775,1.252667,888,14,3,18,3,498,51,33.47268889,33.47268889,51.0,37236
1477742400,1,0,172,52,5,7,2,100.5,0.5087,46,0.25,0.5,1,0,0,1,1,6,4,25.602874,14.568895000000001,4.69735625,0.9851620000000001,7,22,414,428,0,258,21,20.73905714,20.73905714,21.0,21567
1477742400,1,0,174,30,21,25,17,92.5,0.552,30,0.75,0.5,1,0,0,2,2,7,3,27.3505755,13.187351500000002,3.8688735,0.973749,0,0,0,2,0,232,36,60.29987179,30.1499359,18.0,22190
1477740600,1,0,162,65,8,5,7,96.0,0.5242,55,0.5,1.0,1,0,0,2,2,7,4,26.32883375,13.29462475,3.78115525,1.1059424999999998,0,47,8,8,0,48,40,35.20796505,17.60398253,20.0,32002
1477751400,1,0,157,56,11,8,3,89.5,0.53715,49,0.25,0.5,1,0,0,1,1,7,3,27.0330445,13.448485,5.1633585,1.00146675,0,0,21,0,0,50,29,33.5489697,33.5489697,29.0,22179
1477742400,1,0,169,38,10,23,19,94.0,0.4386,34,0.5,1.0,1,0,0,2,2,9,7,27.20690575,12.67993025,4.48378775,0.95696925,502,14,0,0,183,876,38,45.49008036,22.74504018,19.0,23391
1477740600,1,0,172,56,17,18,6,96.0,0.4858,50,0.5,1.0,1,0,0,3,3,9,5,27.30547775,12.990224000000001,4.53603075,1.0349655,333,0,0,0,3,512,62,44.84321187,14.94773729,20.66666667,31859
1477746000,1,0,198,60,8,7,2,104.5,0.4601,51,0.75,0.5,1,1,0,0,0,6,5,28.0958265,13.169634,4.264355999999999,0.9781405000000001,0,0,8,166,0,24,0,0.0,0.0,0.0,27076
1477828800,1,0,164,41,10,10,1,92.5,0.4701,38,0.25,0.5,1,0,0,1,1,10,6,27.20022225,12.9571135,4.78864925,0.8961325000000001,753,428,1,5,1,500,28,14.74117949,14.74117949,28.0,24543
1477821600,1,0,173,58,2,3,6,101.0,0.46275,49,0.25,0.5,1,0,0,4,4,5,3,26.35761925,13.46556,5.09606525,1.25153075,54,326,3,18,434,677,84,81.58568553,20.39642138,21.0,50617
1477825200,1,0,182,41,12,6,17,105.0,0.4818,40,0.75,0.5,1,0,0,1,1,6,3,25.63677025,14.15173225,5.2367955,1.06642075,888,14,0,0,3,498,33,45.07652941,45.07652941,33.0,36658
1477821600,1,0,175,34,11,10,15,93.0,0.4427,30,0.5,0.0,1,0,0,1,1,6,5,26.86451725,13.45432025,4.616594,1.09407825,7,22,414,428,0,258,17,17.67328571,17.67328571,17.0,12556
1477821600,1,0,162,52,8,5,7,93.5,0.50925,50,0.75,0.5,1,0,0,1,1,8,6,27.64813125,12.29614125,4.1980525,1.30834125,500,40,1,39,186,509,27,29.26826667,29.26826667,27.0,32314
1477816200,1,0,156,33,7,13,13,88.0,0.4455,36,0.75,0.5,1,0,0,2,1,9,4,27.38010275,12.220994500000002,5.17582075,1.11796075,0,20,0,117,269,470,7,11.47475,11.47475,7.0,28903
1477825200,1,0,174,51,4,1,9,90.0,0.49965,49,0.25,0.5,1,1,0,2,2,5,3,27.155510999999997,13.390748499999999,3.87968725,1.056332,7,47,0,68,0,173,42,47.902043799999994,23.951021899999997,21.0,14195
1477913400,0,0,185,39,21,27,30,101.5,0.4686,37,0.666666667,0.666666667,1,0,0,1,1,6,3,26.1354815,13.998148,3.9247995,0.98904775,0,0,0,0,0,192,22,33.09418519,33.09418519,22.0,33346
1477913400,0,0,169,60,13,4,3,91.0,0.4758,46,0.5,0.0,1,0,0,2,2,12,9,27.6954275,13.33951125,4.3931665,1.051169,1,0,8,164,0,74,62,60.14203632,30.07101816,31.0,24322
1477924200,0,0,164,69,12,12,18,105.0,0.49195,56,0.5,1.0,1,0,0,1,1,4,2,27.12112225,12.764330000000001,4.771354,1.44959,0,20,3,18,0,104,19,29.28619355,29.28619355,19.0,22836
1477913400,0,0,154,66,9,2,11,93.0,0.517,54,0.833333333,0.333333333,1,0,0,2,2,8,2,27.004059,13.04093675,4.41883925,1.0037775,0,3,21,17,0,3,27,25.1988125,12.59940625,13.5,23520
1478008800,0,0,175,44,6,27,23,104.0,0.5648,36,0.666666667,0.0,1,0,0,4,4,4,1,27.608552500000002,12.8048395,4.74126025,0.9383535,54,326,0,3,434,689,68,88.25572629,22.06393157,17.0,37632
1477998000,0,0,173,56,4,1,8,92.0,0.59335,46,0.833333333,0.333333333,1,0,0,4,4,8,3,25.969016500000002,14.097703,5.21640925,1.05004075,1086,428,0,1,4,1012,116,136.2484821,34.06212053,29.0,45160
1478001600,0,0,152,52,26,38,36,97.5,0.51005,44,0.333333333,0.666666667,1,0,0,1,1,5,4,26.492428999999998,13.48547075,4.48920275,1.05875625,0,47,0,5,0,98,0,0.0,0.0,0.0,12816
1478001600,0,0,173,62,9,2,4,102.0,0.5162,42,0.166666667,0.333333333,1,0,0,2,2,7,7,25.72705,14.003568,5.15252475,0.924006,9,22,414,428,0,643,59,70.01444118,35.00722059,29.5,14356
1477998000,0,0,175,33,14,3,2,95.0,0.5133,35,0.0,0.0,1,0,0,0,0,11,8,26.21284025,13.695788,4.416735500000001,0.894963,0,0,443,0,4,0,0,0.0,0.0,0.0,21285
1478091600,0,0,154,36,8,7,16,88.0,0.50325,41,0.25,0.5,1,0,0,1,0,13,8,28.44758325,11.608806,4.53930325,0.8289165000000001,0,0,1,121,269,366,0,0.0,0.0,0.0,10241
1478086200,0,0,164,38,16,11,8,96.5,0.5483,41,0.5,0.5,1,0,0,0,0,4,1,27.28957525,13.27660575,3.72982225,0.99246025,0,0,0,0,0,0,0,0.0,0.0,0.0,12283
1478086200,0,0,174,52,17,22,19,99.5,0.5193,43,0.41666666700000005,0.166666667,1,0,0,2,2,9,4,25.3025185,14.30305275,4.99316625,1.0860845,753,428,8,4,1,500,51,64.86095636,32.43047818,25.5,22497
1478086200,0,0,174,49,9,4,7,101.0,0.5685,44,0.625,0.75,1,0,0,1,1,8,3,26.5343745,13.21300875,4.8421395,1.119376,0,3,0,17,0,3,10,6.007000000000001,6.007000000000001,10.0,22293
1478088000,0,0,175,36,7,7,6,94.0,0.41595,48,0.25,0.5,1,1,0,2,2,5,4,26.353492,13.18273825,4.026876000000001,0.9051545,2,47,0,5,0,433,18,0.461929825,0.230964912,9.0,11902
1478097000,0,0,171,38,8,1,2,101.5,0.43275,43,1.0,0.0,1,0,0,2,2,4,2,26.29419625,13.472570000000001,5.01966475,1.1640694999999999,888,34,0,0,3,602,43,27.95439867,13.97719934,21.5,32263
1478084400,0,0,165,41,7,12,16,97.0,0.5205,41,0.333333333,0.666666667,1,0,0,1,1,8,5,26.31313775,14.05038075,3.85661725,0.78830675,0,0,443,0,4,0,22,26.09927273,26.09927273,22.0,12396
1478084400,0,0,149,49,2,9,10,95.5,0.6138,44,0.333333333,0.666666667,1,0,0,3,3,10,7,27.968110499999998,13.10336125,4.2118910000000005,1.0607385,8,0,0,64,0,187,91,95.52328003,31.84109334,30.33333333,18661
1478174400,0,0,180,59,17,17,6,97.0,0.5534,47,0.875,0.25,1,0,0,4,4,10,2,27.13858275,13.60755925,4.1602955,0.90220875,414,0,1,36,3,749,109,114.24570779999999,28.56142695,27.25,35052
1478174400,0,0,169,50,6,13,3,100.5,0.4837,46,0.333333333,0.0,1,0,0,0,0,8,7,26.944557,14.00741925,5.217335,1.05644175,0,0,8,163,0,62,0,0.0,0.0,0.0,15912
1478170800,0,0,164,40,6,6,8,89.5,0.51535,37,0.325,0.15,1,0,0,1,1,9,5,27.2814615,12.96891325,4.53861875,0.95685425,0,0,21,0,0,0,33,37.179,37.179,33.0,19494
1478257200,0,0,163,71,13,8,3,101.0,0.41725,47,0.375,0.75,1,0,0,2,2,7,3,27.1882545,13.363721,4.29154025,1.068322,7,3,0,80,0,128,37,40.62733333,20.31366667,18.5,21556
1478259000,0,0,173,45,7,3,4,103.0,0.46535,40,0.575,0.35,1,0,0,1,1,4,1,26.639759499999997,14.003607,3.54322175,0.8247209999999999,0,0,0,0,0,0,30,23.603625,23.603625,30.0,12057
1478269800,0,0,181,41,16,11,20,102.0,0.4992,32,0.6,0.4,1,0,0,4,4,7,3,26.466485,13.39719025,5.6353230000000005,1.0652845,54,326,0,0,434,677,66,72.23266678,18.058166699999997,16.5,50226
1478260800,0,0,169,55,18,19,11,96.0,0.42305,51,0.675,0.15,1,0,0,2,2,4,1,27.159057,12.560874,4.21315575,1.20503475,0,67,0,5,0,152,27,29.07111336,14.53555668,13.5,11167
1478259000,0,0,172,33,6,3,9,92.0,0.45685,38,0.625,0.25,1,0,0,2,2,9,6,27.607317,12.511562,4.0733445,1.260933,1,26,1,40,3,80,47,36.05906724,18.02953362,23.5,16590
1478260800,0,0,187,56,3,2,1,95.0,0.49185,48,0.1,0.2,1,1,0,1,1,5,5,26.31555725,13.38619425,4.58507425,1.14970975,2,0,3,18,0,385,22,22.38927907,22.38927907,22.0,19451
1478262600,0,0,163,46,3,3,10,95.5,0.49745,41,0.2,0.4,1,0,0,0,0,7,4,29.439536,11.491421,3.7800315,0.8473685,0,0,1,7,0,12,0,0.0,0.0,0.0,12324
1478264400,0,0,163,46,12,16,14,92.0,0.46285,44,0.7,0.2,1,0,0,2,1,13,8,27.505159499999998,12.2622625,4.75240725,1.01381775,500,14,0,117,452,857,29,40.773625,40.773625,29.0,18885
1478343600,1,0,165,37,19,24,17,91.0,0.53655,33,0.5,0.2,1,0,0,2,2,7,3,27.3505755,13.187351500000002,3.8688735,0.973749,0,0,0,2,0,232,29,33.38292134,16.69146067,14.5,17387
1478343600,1,0,178,30,11,2,1,101.5,0.51185,38,0.5,1.0,1,0,0,3,3,10,5,26.467326,13.779164000000002,4.55667075,0.9507180000000001,333,0,443,0,7,512,53,39.62663502,13.20887834,17.66666667,54229
1478345400,1,0,170,37,6,9,15,99.5,0.5412,39,0.6,0.0,1,0,0,2,2,8,3,25.43712825,14.0863505,4.9566945,1.041209,753,431,0,18,1,503,53,62.97436884,31.48718442,26.5,19454
1478349000,1,0,165,39,18,17,24,93.5,0.51945,37,0.816666667,0.033333333,1,0,0,2,2,8,4,28.01247075,12.058066,4.6700675,1.2568495000000002,500,34,0,0,183,595,22,21.72440714,10.86220357,11.0,35096
1478340000,1,0,170,53,6,18,20,93.0,0.49035,40,0.525,0.55,1,0,0,1,1,5,5,25.62756825,14.39716675,5.29571175,1.017791,888,14,0,0,3,548,28,45.90696429,45.90696429,28.0,34055
1478347200,1,0,166,44,13,27,26,90.0,0.5189,41,0.46666666700000003,0.26666666699999997,1,0,0,2,2,8,6,26.3448735,13.888794,5.132635,1.0106389999999998,7,22,435,428,0,258,32,51.43177,25.715885,16.0,14313
1478343600,1,0,164,44,10,9,2,86.0,0.44265,39,0.325,0.15,1,0,0,1,0,8,6,27.465657,13.2916975,4.41131975,1.02139875,7,0,0,63,0,125,0,0.0,0.0,0.0,13713
1478435400,1,0,174,52,25,20,16,101.0,0.54465,47,0.5,0.2,1,0,0,1,1,11,4,27.026079,14.14518275,4.21686,0.8790725,81,0,9,199,0,249,30,29.74272727,29.74272727,30.0,13062
1478433600,1,0,170,24,8,3,11,90.0,0.41425,46,0.333333333,0.666666667,1,1,0,1,1,10,7,27.600095500000002,12.76951525,4.702287,0.9348420000000001,7,22,415,432,0,258,11,6.268846153999999,6.268846153999999,11.0,19651
1478442600,1,0,181,63,11,7,11,106.0,0.4918,52,0.41666666700000005,0.166666667,0,0,0,0,0,6,3,26.46369625,13.44349225,4.98848475,1.35194125,0,0,3,18,0,0,0,0.0,0.0,0.0,23222
1478421000,1,0,152,59,4,1,6,91.0,0.48455,45,0.5,0.0,0,0,0,1,1,3,1,27.6436985,12.6476855,3.53622375,0.980455,0,47,0,8,0,60,21,23.03267857,23.03267857,21.0,22621
1478430000,1,0,162,62,6,2,5,86.5,0.43335,48,0.542857143,0.514285714,0,0,0,3,3,11,6,27.783915000000004,12.780577000000001,4.33919,0.996194,1,0,21,1,0,62,60,55.60986089,18.5366203,20.0,19734
1478451600,1,0,158,54,5,2,5,91.5,0.5571,45,0.45,0.1,1,0,0,2,2,12,7,26.5498795,12.95474525,4.74382025,1.0188685,0,0,8,120,269,366,56,48.399724600000006,24.199862300000003,28.0,32867
1478532600,0,0,158,48,30,38,32,92.5,0.5076,39,0.75,0.166666667,0,0,0,1,1,4,1,28.21931625,12.0894145,4.3712705000000005,1.2311845,0,20,0,0,0,104,8,9.386481481,9.386481481,8.0,14044
1478520000,0,0,173,38,9,1,8,97.5,0.54735,34,0.35,0.3,0,0,0,2,2,7,4,26.12919575,14.399176500000001,5.09169825,1.036474,760,428,0,64,1,625,53,53.833175,26.9165875,26.5,20057
1478520000,0,0,177,47,20,21,22,105.0,0.519,40,0.65,0.3,0,0,0,2,2,5,1,27.854853499999997,13.1928105,3.48729575,0.80942225,0,0,0,2,0,40,34,62.77288485,31.38644242,17.0,13954
1478523600,0,0,169,39,8,22,12,94.0,0.44055,34,0.6166666670000001,0.433333333,1,0,0,1,1,4,3,25.92985675,13.71064525,4.54764975,1.21556125,888,40,1,39,6,516,14,14.47655556,14.47655556,14.0,21952
1478532600,0,0,170,39,14,6,10,97.5,0.5601,33,0.333333333,0.666666667,0,0,0,5,5,6,4,26.318346000000002,13.33989225,5.2319125,0.8630530000000001,56,326,0,0,434,1062,129,142.3074324,28.46148648,25.8,42524
1478606400,0,0,180,49,11,5,4,97.0,0.5017,41,0.833333333,0.333333333,0,0,0,4,4,8,2,27.02807525,13.0622475,4.41625125,1.08188875,333,3,0,17,3,515,97,88.77244117,22.19311029,24.25,44960
1478619000,0,0,160,29,4,6,12,90.5,0.56835,31,0.369047619,0.404761905,0,0,0,0,0,10,5,28.2974685,12.08377175,4.67409425,0.9742995000000001,0,0,1,4,0,0,0,0.0,0.0,0.0,24491
1478610000,0,0,156,53,0,3,1,98.0,0.56185,53,0.46428571399999996,0.071428571,0,0,0,1,1,7,5,26.882828000000003,13.6268985,4.06096275,1.0467625,0,47,8,168,0,60,19,25.01026667,25.01026667,19.0,16643
1478608200,0,0,168,54,1,4,9,102.5,0.56035,40,0.26666666699999997,0.133333333,1,0,0,0,0,5,3,26.291045,14.128585999999999,4.72807975,0.97598975,0,0,0,0,0,50,0,0.0,0.0,0.0,18683
1478619000,0,0,165,38,7,6,8,93.0,0.5065,44,0.1875,0.375,0,0,0,2,2,7,5,26.8941075,13.145752499999999,4.70103175,0.847865,2,0,21,0,0,385,62,62.85411876,31.42705938,31.0,9374
1478617200,0,0,167,61,8,7,3,101.5,0.59135,54,0.428571429,0.28571428600000004,0,0,0,0,0,3,2,27.60576375,12.851141499999999,4.094422,1.22501025,0,0,3,21,0,12,0,0.0,0.0,0.0,16491
1478692800,0,0,172,44,5,1,14,100.5,0.50695,41,0.380952381,0.095238095,0,0,0,1,1,7,3,26.12744975,13.93774,4.02003225,1.023176,0,0,8,3,0,0,22,19.84682353,19.84682353,22.0,23224
1478692800,0,0,173,42,15,20,25,91.0,0.52405,45,0.333333333,0.333333333,0,0,0,2,2,9,2,27.298762,13.90903275,4.0355845,0.888642,88,0,1,99,0,362,42,37.071434100000005,18.53571705,21.0,11471
1478694600,0,0,174,48,7,6,8,103.0,0.5301,41,0.642857143,0.14285714300000002,0,0,0,2,2,8,4,26.369609000000004,13.32800525,4.0977755,1.08380425,0,3,0,17,0,195,55,55.739727,27.8698635,27.5,19354
1478705400,0,0,160,50,31,16,21,90.5,0.56305,42,0.5,0.428571429,0,0,0,4,4,9,4,28.191391499999998,12.1058395,4.78167475,0.8738889999999999,54,326,1,4,434,677,88,102.722934,25.68073351,22.0,30939
1478701800,0,0,162,52,3,5,2,95.0,0.4865,39,0.642857143,0.14285714300000002,0,0,0,2,2,10,6,26.2577985,13.610570000000001,5.00175325,1.08103375,1253,442,0,1,184,991,58,50.89722764,25.44861382,29.0,30160
1478692800,0,0,172,56,27,20,16,93.0,0.54305,42,0.297619048,0.261904762,0,0,0,0,0,8,7,26.802575,13.38641975,5.02083525,1.023823,0,0,0,0,0,50,0,0.0,0.0,0.0,10826
1478692800,0,0,186,39,6,0,7,97.0,0.5729,38,0.214285714,0.428571429,0,1,0,1,1,9,4,26.91640425,13.62715775,4.068054,0.831831,0,0,443,2,4,40,28,25.99959375,25.99959375,28.0,18285
1478705400,0,0,175,47,29,43,31,93.5,0.4432,38,0.7410714290000001,0.23214285699999998,0,0,0,1,1,3,0,28.3720555,12.1036095,4.416549,1.13641275,0,20,0,3,0,116,16,27.38125,27.38125,16.0,14308
1478692800,0,0,164,47,7,2,6,94.0,0.5122,41,0.729166667,0.208333333,0,0,0,2,2,9,5,27.06218925,13.02061225,4.26700975,0.8204135,0,0,0,117,269,366,50,49.40637745,24.70318873,25.0,9833
1478782800,0,0,177,35,0,0,3,92.0,0.4662,31,0.41666666700000005,0.166666667,0,0,0,1,1,6,4,26.700883,13.049032,4.09423275,1.27926375,0,26,1,39,3,210,20,24.76578947,24.76578947,20.0,33327
1478791800,0,0,159,42,10,3,10,97.0,0.5107,38,0.472222222,0.055555556,0,0,0,1,1,8,2,27.0422465,13.2030505,5.10444225,1.0500965,0,0,21,0,0,0,28,21.82436111,21.82436111,28.0,21465
1478782800,0,0,180,52,7,7,6,98.0,0.48065,39,0.28571428600000004,0.571428571,0,0,0,2,2,7,6,25.72705,14.003568,5.15252475,0.924006,9,22,414,428,0,643,47,37.86283902,18.93141951,23.5,19504
1478871000,0,0,157,40,3,8,10,86.0,0.47695,27,0.5625,0.125,0,0,0,1,1,8,6,28.344372999999997,12.130682499999999,3.947857,1.1270415,500,14,0,0,183,491,17,12.20994595,12.20994595,17.0,18795
1478865600,0,0,174,54,1,4,4,94.5,0.4771,49,0.25,0.5,0,1,0,1,1,9,4,26.91640425,13.62715775,4.068054,0.831831,0,0,443,2,4,40,26,25.4903,25.4903,26.0,26058
1478869200,0,0,174,54,0,8,2,100.0,0.52005,47,0.8125,0.125,0,0,0,2,2,4,2,26.29419625,13.472570000000001,5.01966475,1.1640694999999999,888,34,0,0,3,602,41,40.82184762,20.41092381,20.5,34404
1478867400,0,0,184,60,10,13,28,101.5,0.4165,44,0.428571429,0.0,0,0,0,2,2,11,3,26.47208475,13.812909,3.9370525,0.9382524999999999,81,0,9,39,0,237,41,73.28894048,36.64447024,20.5,26413
1478876400,0,0,174,62,5,1,2,91.5,0.56075,45,0.477777778,0.15555555599999998,0,1,0,1,1,5,0,28.184314,12.61069975,4.2103795,0.9231655000000001,0,0,21,3,0,12,33,28.37907692,28.37907692,33.0,19891
1478865600,0,0,183,46,14,3,2,94.5,0.50555,37,0.7857142859999999,0.14285714300000002,0,0,0,3,3,9,6,27.653743,13.0731045,3.6365485,0.9118940000000001,1,0,0,1,0,62,93,108.93579679999999,36.31193228,31.0,18236
1478865600,0,0,159,35,4,4,13,88.5,0.4176,36,0.465277778,0.180555556,0,0,0,1,1,12,8,26.96189175,12.6660195,4.827128,0.92706975,0,0,0,117,269,366,20,23.72389744,23.72389744,20.0,8935
1478959200,1,0,191,51,13,7,18,106.5,0.4913,39,0.35416666700000005,0.041666667000000004,0,0,0,0,0,4,2,26.19138125,13.95152125,4.12990575,1.21086575,0,0,3,18,0,0,0,0.0,0.0,0.0,9926
1478955600,1,0,165,58,9,15,14,93.5,0.54655,50,0.587301587,0.6031746029999999,0,0,0,1,1,5,3,27.220786,12.94139475,5.369528,1.2147139999999998,0,20,0,0,0,154,18,28.92529412,28.92529412,18.0,17917
1478952000,1,0,184,26,1,13,27,94.0,0.5525,27,0.333333333,0.444444444,0,0,0,1,1,7,3,26.424422999999997,13.3178245,5.124332,0.9634635,2,0,0,0,0,385,34,30.84122857,30.84122857,34.0,31346
1478957400,1,0,146,57,5,5,10,92.5,0.53405,46,0.5,0.0,0,0,0,2,2,6,5,25.804257999999997,13.92577975,4.45847925,1.0679285,7,69,414,433,0,306,45,46.12232817,23.06116409,22.5,10469
1478953800,1,0,180,54,3,2,11,98.0,0.50085,43,0.5625,0.375,0,0,0,3,3,12,8,27.14143325,13.0072375,4.113359,1.110349,1,0,8,4,0,62,80,74.97434207,24.99144736,26.66666667,28280
1478955600,1,0,162,38,5,17,11,92.0,0.51545,36,0.44285714299999995,0.314285714,0,0,0,1,1,9,5,27.01576325,12.45906975,4.70380575,1.1694525,0,26,1,156,272,384,25,26.02082857,26.02082857,25.0,7971
1479045600,1,0,190,61,7,14,7,101.5,0.44515,48,0.46666666700000003,0.26666666699999997,0,0,0,0,0,6,5,28.0958265,13.169634,4.264355999999999,0.9781405000000001,0,0,8,166,0,24,0,0.0,0.0,0.0,13463
1479038400,1,0,151,72,23,15,26,96.0,0.5637,50,0.425,0.35,0,0,0,0,0,7,5,26.56336,13.620557000000002,5.58665875,1.11706525,0,0,0,0,0,50,0,0.0,0.0,0.0,27046
1479038400,1,0,178,46,10,2,2,96.0,0.57385,39,0.5,0.333333333,0,0,0,1,1,7,6,25.87598525,13.917595,4.670972,0.9731785,888,14,0,0,3,498,41,54.60736842,54.60736842,41.0,28191
1479042000,1,0,177,57,3,7,13,105.0,0.5824,49,0.538888889,0.477777778,0,0,0,4,4,5,3,26.35761925,13.46556,5.09606525,1.25153075,54,326,3,18,434,677,103,107.7306687,26.93266717,25.75,39426
1479137400,0,0,167,43,24,34,32,98.0,0.5588,43,0.672222222,0.45555555600000003,0,0,0,1,1,4,0,26.957673,13.20398925,4.45203275,1.12226825,0,20,0,0,0,104,7,14.810360000000001,14.810360000000001,7.0,13046
1479126600,0,0,161,29,3,16,16,87.0,0.45465,32,0.291666667,0.083333333,0,0,0,1,1,11,6,28.12467125,12.13836025,4.024963,0.9728559999999999,0,0,9,7,0,0,24,21.88560606,21.88560606,24.0,21157
1479132000,0,0,149,48,8,3,6,85.0,0.53025,53,0.54040404,0.191919192,0,0,0,2,2,9,5,26.65174575,12.7650705,4.2954955,0.962003,0,47,0,122,269,414,35,17.5865202,8.793260101,17.5,12146
